id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_au_m2
2024-1011569,02/04/2024,Vente,125000.0,83000,Toulon,Appartement,55.0,3,,5.927351,43.124845,2272.73
2024-1011696,02/04/2024,Vente,155000.0,83200,Toulon,Appartement,63.0,3,,5.900107,43.125889,2460.32
2024-1012185,02/04/2024,Vente,170000.0,83000,Toulon,Appartement,52.0,3,,5.939911,43.110668,3269.23
2024-1012424,02/04/2024,Vente,181500.0,83100,Toulon,Appartement,40.0,2,,5.970838,43.120707,4537.5
2024-1011589,02/04/2024,Vente,232000.0,83200,Toulon,Appartement,62.0,3,,5.898357,43.12859,3741.94
2024-1011905,02/04/2024,Vente,252825.0,83200,Toulon,Appartement,66.0,4,,5.91627,43.140028,3830.68
2024-1011983,02/04/2024,Vente,306900.0,83000,Toulon,Appartement,92.0,5,,5.942627,43.116786,3335.87
2024-1011777,02/04/2024,Vente,367250.0,83000,Toulon,Maison,56.0,4,190.0,5.933387,43.137053,6558.04
2024-1012020,02/04/2024,Vente,475510.0,83200,Toulon,Maison,100.0,3,500.0,5.940299,43.158012,4755.1
2024-1012020,02/04/2024,Vente,475510.0,83200,Toulon,Maison,100.0,3,1296.0,5.940299,43.158012,4755.1
2025-417337,02/04/2025,Vente,102000.0,83100,Toulon,Appartement,57.0,2,,5.949451,43.121898,1789.47
2025-417999,02/04/2025,Vente,123000.0,83100,Toulon,Appartement,46.0,2,,5.962999,43.131042,2673.91
2025-417385,02/04/2025,Vente,128000.0,83200,Toulon,Appartement,61.0,4,,5.915605,43.131125,2098.36
2025-417553,02/04/2025,Vente,296500.0,83000,Toulon,Appartement,77.0,3,,5.957581,43.11552,3850.65
2024-1013188,02/05/2024,Vente,87000.0,83100,Toulon,Appartement,52.0,3,,5.966269,43.125475,1673.08
2024-1012876,02/05/2024,Vente,95000.0,83200,Toulon,Appartement,52.0,3,,5.912983,43.13566,1826.92
2024-1012900,02/05/2024,Vente,97000.0,83000,Toulon,Appartement,55.0,2,,5.941877,43.122929,1763.64
2024-1012850,02/05/2024,Vente,130000.0,83200,Toulon,Appartement,53.0,3,,5.908508,43.137363,2452.83
2024-1013058,02/05/2024,Vente,130000.0,83100,Toulon,Appartement,67.0,4,,5.962273,43.124592,1940.3
2024-1013506,02/05/2024,Vente,175000.0,83000,Toulon,Appartement,56.0,3,,5.935142,43.10934,3125.0
2024-1015456,02/05/2024,Vente,210000.0,83000,Toulon,Appartement,75.0,4,,5.93905,43.118475,2800.0
2024-1013387,02/05/2024,Vente,270000.0,83000,Toulon,Appartement,70.0,5,,5.950705,43.113168,3857.14
2024-1013601,02/05/2024,Vente,290000.0,83000,Toulon,Maison,60.0,3,375.0,5.944211,43.126634,4833.33
2024-1013047,02/05/2024,Vente,310000.0,83200,Toulon,Maison,82.0,4,359.0,5.903366,43.13737,3780.49
2025-419853,02/06/2025,Vente,105000.0,83000,Toulon,Appartement,18.0,1,,5.936595,43.107488,5833.33
2025-419853,02/06/2025,Vente,105000.0,83000,Toulon,Appartement,9.0,0,,5.936595,43.107488,11666.67
2025-420075,02/06/2025,Vente,131800.0,83000,Toulon,Appartement,40.0,2,,5.935768,43.112805,3295.0
2025-419163,02/06/2025,Vente,171840.0,83000,Toulon,Appartement,84.0,4,,5.957979,43.117845,2045.71
2025-419239,02/06/2025,Vente,306500.0,83000,Toulon,Appartement,79.0,3,,5.937607,43.108798,3879.75
2025-419127,02/06/2025,Vente,465500.0,83200,Toulon,Maison,149.0,5,781.0,5.918679,43.155811,3124.16
2025-419185,02/06/2025,Vente,485000.0,83200,Toulon,Maison,112.0,5,790.0,5.901484,43.143883,4330.36
2024-1015001,02/07/2024,Vente,58000.0,83000,Toulon,Appartement,16.0,1,,5.961291,43.120415,3625.0
2024-1015040,02/07/2024,Vente,70000.0,83100,Toulon,Appartement,29.0,1,,5.953413,43.124031,2413.79
2024-1015269,02/07/2024,Vente,70000.0,83200,Toulon,Appartement,32.0,2,,5.916393,43.128572,2187.5
